,Best months for climbing:,Continent:,Convenient Center:,Country:,Difficulty:,Elevation (feet):,Elevation (meters):,First successful climber(s):,Latitude:,Longitude:,Most recent eruption:,Nearest major airport:,Province:,Range/Region:,State:,Volcanic status:,Year first climbed:
Fuji-san,"Jun, Jul, Aug, Sep",Asia,"Fuji, Japan",Japan,Walk up,12389.0,3776.1672,an anonymous monk,35.3667,138.733,,"Tokyo, Japan",,Honshu,,Dormant,
Galdhøpiggen,"Jun, Jul, Aug",Europe,"Boverdal or Spiterstulen, Norway",Norway,Basic Snow/Ice Climb,8100.0,2468.88,"L. Arnesen, S. Flotten, S. Sulheim",61.633,8.317,,"Bergen or Oslo, Norway",,Jotunheimen,,,1850.0
Ganesh Himal,"Apr, May, Sep, Oct",Asia,"Kathmandu, Nepal",Nepal,Major Mountain Expedition,24373.0,7428.8904,"Raymond Lambert, Claude Kogan, E. Gauchat",28.391551,85.126963,,"Kathmandu, Nepal",,Central Nepal Himalaya,,,1955.0
Gannett Peak,"Jul, Aug, Sep",North America,"Pinedale, Wyoming",United States,Scramble,13804.0,4207.4592,"A. Tate, F. Stahlnaker",43.1844,-109.65299999999999,,"Jackson, Wyoming",,Wind River Range,Wyoming,,1922.0
Volcan Villarrica,,South America,Pucón,Chile,Walk up,9317.0,2839.8216,,,,,Pucón,,Central Argentina-Chile,,,
Yates 1,"Jan, Feb, Dec",South America,Rio Puelo,Chile,,7349.0,2239.9752,"Oliver Guenay, Ludwig Codjambassis",,,,Puerto Montt,,Central Argentina-Chile,,,2000.0
Gerlach,"Jul, Aug, Sep",Europe,"Tatranska Lomnica, Slovakia, Zakopane, Poland",Slovakia,Scramble,8711.0,2655.1128,"Z. Bosniachi, W. Grzegorzek",49.15,20.0833,,"Tatry-Poprad, Slovakia",,Carpathian Mountains,,,1855.0
Mount Gessi,"Jan, Feb, Jun, Jul, Aug",Africa,"Mutsori, Zaire, Bugoye, Uganda","Congo, Democratic Republic of the",Scramble,15470.0,4715.255999999999,"Duke of the Abruzzi, J. Petigax, C. Ollier",0.43333299999999997,29.9167,,"Kampala, Uganda, Kigali, Rwanda, Bujumbura, Burundi, Nairobi, Kenya",,Ruwenzori,,,1906.0
Glacier Peak,"May, Jun, Jul, Aug",North America,"Darrington, Washington",United States,Basic Snow/Ice Climb,10541.0,3212.8968,Thomas Gerdine with a U.S. Geological Survey team,48.111227,-121.113992,,"Seattle, Washington",,Cascade Range,Washington,,1898.0
Glittertind,"Jun, Jul, Aug",Europe,"Spiterstulen, Norway",Norway,Basic Snow/Ice Climb,8084.0,2464.0032,a survey party,61.65,8.55,,"Bergen or Oslo, Norway",,Jotunheimen,,,1841.0
Gran Paradiso,"Jul, Aug, Sep",Europe,"Pont, Italy",Italy,Basic Snow/Ice Climb,13323.0,4060.8504,"J.J. Cowell, W. Dundas, J. Payot, J. Tairraz",45.5177,7.2678,,"Turin, Italy",,Graian Alps,,,1860.0
Grand Combin,"Jul, Aug, Sep",Europe,"Bourg St. Pierre, Switzerland",Switzerland,Basic Snow/Ice Climb,14154.0,4314.1392,"Benjamin Felley, Maurice Felley, Jouvence Bruchez",45.937228000000005,7.298906,,"Geneva, Switzerland",,Pennine Alps,,,1857.0
Grand Teton,"May, Jun, Jul, Aug, Sep",North America,"Jackson, Wyoming",United States,Technical Climb,13770.0,4197.096,"Reverend W. Owen, F. Spaulding, J. Shive, F. Peterson",43.7411,-110.802,,"Jackson, Wyoming",,Teton Range - Yellowstone Area,Wyoming,,1898.0
