,Best months for climbing:,Continent:,Convenient Center:,Country:,Difficulty:,Elevation (feet):,Elevation (meters):,First successful climber(s):,Latitude:,Longitude:,Most recent eruption:,Nearest major airport:,Province:,Range/Region:,State:,Volcanic status:,Year first climbed:
Khan Tengri,"Aug, Sep",Asia,"Bishkek, Kyrgyzstan, Karakol, Kyrgzystan",Kazakhstan,Major Mountain Expedition,22998.0,7009.7904,M.T. Pogrebetsky's expedition,42.2108,80.175,,"Almaty, Kazakhstan, в?mqi, China, Moscow, Russia",,Central Tien Shan,,,1931.0
Khiangyang Kish,"Jul, Aug, Sep",Asia,Gilgit,Pakistan,Major Mountain Expedition,25761.0,7851.9528,Zawada's Polish Expedition (Main Peak),36.088159000000005,75.121036,,"Islamabad, Pakistan",,Karakoram,,,
Mount Kilimanjaro,"Jan, Feb, Mar, Jun, Jul, Aug, Dec",Africa,"Marangu via Moshi, Tanzania",Tanzania,Walk up,19340.0,5894.831999999999,"Hans Meyer, L. Purtscheller",-3.0666700000000002,37.35,,"Kilimanjaro International Airport (KIA), Tanzania",,Northeast Tanzania,,,1889.0
Nordenski Idtoppen,"Apr, May",Europe,Longyearbyen,Norway,Scramble,3442.0,1049.1216,,78.0,16.0,,Longyearbyen airport,,,,,
Kings Peak,"Jun, Jul, Aug, Sep",North America,"Mountain View, Wyoming, Kamas, Utah",United States,Scramble,13528.0,4123.3344,,40.7833,-110.367,,"Salt Lake City, Utah",,Uinta Range,Utah,,
Kita Dake,"Jun, Jul, Aug, Sep, Oct",Asia,"Ahiyasa, Japan",Japan,Scramble,10474.0,3192.4752,,35.6734,138.239,,"Tokyo, Japan",,Honshu,,,
Kliuchevskoi,"Sep, Oct",Asia,"Kozyrevsk, Russia, Klyuchi, Russia",Russia,Major Mountain Expedition,15584.0,4750.0032,Daniel Gauss and two other members of the Billings Expedition,56.0667,160.63299999999998,"2005, ongoing","Petropavlovsk-Kamchatskiy, Russia",,Kamchatka Peninsula,,Active,1788.0
Kongur,"Jun, Jul, Aug, Sep",Asia,"Kashi, China",China,Major Mountain Expedition,25326.0,7719.3648,"Michael Ward and party, (British expedition)",38.6667,75.35,,"Kashi, China",,Kunlun,,,1981.0
Mount Kosciusko,"Jan, Feb, Mar, Nov, Dec",Australia/Oceania,"Chalet, Australia",Australia,Walk up,7310.0,2228.0879999999997,"Lhotsky , (disputed, may have been Count Strzelecki in 1840)",-36.45,148.267,,"Melbourne, Australia",,South NSW Great Dividing Range,,,1834.0
Alphubel,"Jul, Aug, Sep",Europe,Saas Fee,Switzerland,Basic Snow/Ice Climb,13799.0,4205.9352,"Leslie Stephen, T. W. Hinchliff, Melchior Anderegg, and Peter Perren",46.062257,7.864389,,Geneva,,Pennine Alps,,,1860.0
Emi Koussi,"Jan, Feb, Mar, Nov, Dec",Africa,"Zouar or Bardai, Chad",Chad,Walk up,11204.0,3414.9792,Wilfred Thesiger,19.8333,18.5,,"N'Djamena, Chad",,Tibesti,,Extinct,1938.0
Koyo Zom,"Jul, Aug, Sep",Asia,"Gilgit, Pakistan",Pakistan,Major Mountain Expedition,22603.0,6889.3944,Dr. Stamm's Austrian expedition,36.5833,73.0,,"Rawalpindi, Pakistan",,Hindu Kush,,,1968.0
Kula Kangri,"Apr, May, Sep, Oct",Asia,"Thimpu, Bhutan",Bhutan,Major Mountain Expedition,24731.0,7538.0088,,28.2333,90.6,,"Paro, Bhutan",,Bhutan Himalaya,,,
La Plata Peak,"Jun, Jul, Aug, Sep",North America,"Leadville, Colorado",United States,Scramble,14336.0,4369.6128,The Hayden Survey,39.0294,-106.473,,"Denver, Colorado",,Sawatch Range,Colorado,,1873.0
Mount Lemmon,"Feb, Apr, May, Sep, Oct, Nov",North America,Tucson,United States,Walk up,9157.0,2791.0536,Pre- recorded history.,32.4333,-110.78299999999999,,Tucson,,,Arizona,,
Pik Lenin,"Jun, Jul, Aug",Asia,"Osh, Kyrgyzstan, Dzhirgatal, Tajikistan",Tajikistan,Basic Snow/Ice Climb,23406.0,7134.1488,"Karl Wien, Eugene Allwein, Erwin Schneider, (German team)",39.3333,72.9167,,"Tashkent, Uzbekistan, Dushanbe, Tajikistan",,Pamir,,,1928.0
Lhotse,"Apr, May, Sep, Oct",Asia,"Namche Bazar, Nepal",Nepal,Major Mountain Expedition,27940.0,8516.112,"Ernst Reiss, Fritz Luchsinger, (Swiss team)",27.9667,86.9333,,"Kathmandu, Nepal",,Central Nepal Himalaya,,,1956.0
Cheaha Mountain,"Jan, Feb, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",North America,"Anniston, AL",United States,Walk up,2405.0,733.044,,33.4857,-85.8091,,"Birmingham, AL or Hartsfield (Atlanta, GA)",,Southern Appalachian Ridges,Alabama,,
Mount Logan,"Apr, May, Jun",North America,"Haines Junction, Yukon",Canada,Basic Snow/Ice Climb,19550.0,5958.84,A.H. MacCarthy et al,60.5667,-140.4,,"Whitehorse, Yukon",Yukon,Saint Elias Mountains,,,1925.0
Pic Long,"Jul, Aug, Sep",Europe,"Paradise, Washington , (south of the mountain) Sunrise, Washington, (northeast of the mountain)",France,Basic Snow/Ice Climb,10472.0,3191.8656,"Duc de Nemours, (son of King Louis Philippe), and guide Marc Sesquet",42.800974,0.098834,,"Lourdes or Toulouse, France, Zaragoza or Barcelona, Spain",,Pyrenees,,,1846.0
Longs Peak,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",North America,"Estes Park, Colorado",United States,Scramble,14258.0,4345.8384,John Wesley Powell and party,40.2547,-105.615,,"Denver, Colorado",,Front Range,Colorado,,1868.0
Loengpogang,"Apr, May, Sep, Oct",Asia,"Kathmandu, Nepal",Nepal,Major Mountain Expedition,23239.0,7083.2472,"Yasuhisa and Morita, (Japanese expedition)",28.2,85.8,,"Kathmandu, Nepal",,Central Nepal Himalaya,,,1962.0
Mount Lucania,"Jun, Jul, Aug",North America,Haines Junction,Canada,Major Mountain Expedition,17147.0,5226.4056,"Bradford Washburn, Robert Bates",61.0167,-140.467,,"Anchorage, Alaska",Yukon,Saint Elias Mountains,,,1937.0
Mount Luigi,"Jan, Feb, Jun, Jul, Aug",Africa,"Mutsori, Zaire, Bugoye, Uganda",Uganda,Scramble,15178.0,4626.2544,"Vittorio Sella, J. Brocherel, E. Botta",0.333333,29.8833,,"Kampala, Uganda, Kigali, Rwanda, Bujumbura, Burundi, Nairobi, Kenya",,Ruwenzori,,,1906.0
Mount Lyell,"Jun, Jul, Aug",North America,"Lee Vining or Mono Lake,, California",United States,Scramble,13114.0,3997.1472,John Tileston,37.7394,-119.271,,"Oakland, California, Reno, Nevada",,Sierra Nevada,California,,1871.0
Makalu,"Apr, May",Asia,"Hille, Nepal via Dharan Bazar",Nepal,Major Mountain Expedition,27765.0,8462.771999999999,J. Franco's French Expedition,27.889915000000002,87.089396,,"Kathmandu, Nepal",,Central Nepal Himalaya,,,1955.0
Pico de la Maladeta,"May, Jun, Jul, Aug, Sep",Europe,"Benasque, Spain",Spain,Basic Snow/Ice Climb,10853.0,3307.9944,"Albert de Franqueville, Platon Chihacher, and party",42.638000000000005,0.640984,,"Lourdes or Toulouse, France, Zaragoza or Barcelona, Spain",,Pyrenees,,,1842.0
Manaslu,"Apr, May",Asia,"Pokhara, Nepal",Nepal,Major Mountain Expedition,26758.0,8155.8384,"T. Imanishi, Gyalzen Norbu, (Japanese expedition)",28.549959,84.559536,,"Kathmandu, Nepal",,Central Nepal Himalaya,,,1956.0
Marmolada,"Jul, Aug, Sep",Europe,"Canazei, Italy",Italy,Basic Snow/Ice Climb,10965.0,3342.132,"P. Grohmann, the Dimai brothers",46.4333,11.85,,"Venice, Italy",,Dolomites,,,1863.0
Maroon Bells,"Jun, Jul, Aug, Sep",North America,"Aspen, Colorado",United States,Scramble,14156.0,4314.7488,C. Wilson,39.0708,-106.98899999999999,,"Aspen, Colorado",,Elk Range Area,Colorado,,
Masherbrum,"Jul, Aug, Sep",Asia,"Skardu, Pakistan",Pakistan,Major Mountain Expedition,25660.0,7821.168000000001,"George Bell, Willi Unsoeld, (American-Pakistani expedition)",35.642301,76.306658,,"Islamabad, Pakistan",,Karakoram,,,1960.0
Mount Massive,"Jul, Aug, Sep",North America,"Leadville, Colorado",United States,Scramble,14428.0,4397.6544,H. Gannett,39.1872,-106.475,,Denver Int or Eagle Cnty Reg,,Sawatch Range,Colorado,,1874.0
Hawk Mountain,"Mar, Apr, Sep, Oct",North America,Reading,United States,Walk up,1533.0,467.2584,,40.6456,-75.9803,,Reading,,Northern Appalachian Ridges,Pennsylvania,,
Mont Maudit,"Jul, Aug, Sep",Europe,"Chamonix, France",France,Basic Snow/Ice Climb,14649.0,4465.0152,"W. Davidson, H. Seymour Hoare, Johann Jaun, Johann von Bergen",45.85,6.88333,,"Geneva, Switzerland",,Savoy Alps,,,1878.0
Mauna Kea,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",North America,"Hilo, Hawaii",United States,Walk up,13796.0,4205.0208,,19.8236,-155.471,,"Honolulu, Hawaii",,,Hawaii,Dormant,
Mauna Loa,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",North America,"Hilo, Hawaii",United States,Walk up,13677.0,4168.7496,,19.4786,-155.608,"2005, ongoing","Honolulu, Hawaii",,,Hawaii,Active,
Blencathra,"Jan, Feb, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,Keswick,United Kingdom,Walk up,2847.0,867.7656,,54.64,-3.0497799999999997,,Manchester,,Lake District,,,
Denali,"Apr, May, Jun",North America,"Talkeetna, Alaska",United States,Major Mountain Expedition,20320.0,6193.536,"Hudson Stuck, Harry Karstens, W. Harper, R. Tatum",63.0694,-151.004,,"Anchorage, Alaska",,Alaska Range,Alaska,,1913.0
Gunung Merapi,"Jun, Jul, Aug, Sep, Oct",Asia,"Selo, Java",Indonesia,Walk up,9550.0,2910.84,,-7.55,110.43299999999999,2005,"Yogyakarta, Java",,Java,,Active,
Mercedario,"Jan, Feb, Mar, Dec",South America,"Barreal, Argentina",Argentina,Walk up,22211.0,6769.9128,"V. Ostrowski, A. Karpinski",-31.9833,-70.1167,,"Mendoza, Argentina, Santiago, Chile",,Central Argentina-Chile,,Extinct,1934.0
Mount Meru,"Jan, Feb, Mar, Jun, Jul, Aug, Dec",Africa,"Arusha, Tanzania",Tanzania,Walk up,14979.0,4565.5992,Fritz Jaeger (Disputed: May have been Carl Uhlig in 1901),-3.244392,36.749999,,Kilimanjaro International Airport (JRO),,Northeast Tanzania,,Active,1904.0
Middle Teton,"May, Jun, Jul, Aug, Sep",North America,"Jackson, Wyoming",United States,Technical Climb,12804.0,3902.6592,"Albert Ellingwood, Miss E. Davis, (ascended earlier by natives but unrecoreded)",43.73,-110.811,,"Jackson, Wyoming",,Teton Range - Yellowstone Area,Wyoming,,1923.0
Kramerspitze,"Jun, Jul, Aug, Sep",Europe,Garmisch-Partenkirchen,Germany,Walk up,6512.0,1984.8576,,,,,Munich,,Bavarian Alps,,,
Minya Konka,"Apr, May",Asia,"Kanding, China (previously known as Tatsienlu)",China,Major Mountain Expedition,24790.0,7555.991999999999,"Terris Moore, Richard Burdsall",29.5667,101.883,,"Chengdu, China",,West Sichuan Ranges,,,1932.0
Mount Mitchell,"May, Jun, Jul, Aug, Sep, Oct",North America,"Asheville, North Carolina",United States,Walk up,6684.0,2037.2832,"Andre Michaux, John Fraser, Dr. Elisha Mitchell",35.7647,-82.2653,,"Knoxville, Tennessee",,Blue Ridge Mountains,North Carolina,Extinct,1787.0
Mönch,"Jun, Jul, Aug, Sep",Europe,"Grindelwald or Interlaken, Switzerland",Switzerland,Basic Snow/Ice Climb,13474.0,4106.8752,"Siegismund Porges, Ulrich Almer, Christian Almer, Christian Kaufmann",46.55832,7.997205,,"Bern or Zurich, Switzerland",,Berner Oberland,,,1857.0
Mont-aux-Sources,"Apr, May, Jun, Jul, Aug, Sep",Africa,"Phuthaditjaba, or hotels and campsites at the National Park",South Africa,Scramble,10768.0,3282.0864,"T. Arbousset and F. Dumas, (French missionaries)",-28.759081,28.884644,,"Johannesburg or Durban, South Africa",,Drakensberg,,,1836.0
Mont Blanc,"Jul, Aug, Sep",Europe,"Chamonix, France",France,Basic Snow/Ice Climb,15771.0,4807.0008,"Michel-Gabriel Paccard, Jacques Balmat",45.832865999999996,6.8648240000000005,,"Geneva, Switzerland",,Savoy Alps,,,1786.0
Mount Moran,,North America,"Jackson, Wyoming",United States,Basic Snow/Ice Climb,12605.0,3842.0040000000004,"L. Hardy, B. Rich, B. McNulty",43.8353,-110.77600000000001,,"Jackson, Wyoming",,Teton Range - Yellowstone Area,Wyoming,,1922.0
Mulanje,"May, Jun, Jul, Aug, Sep",Africa,"Blantyre, Malawi",Malawi,Scramble,9852.0,3002.8896,,-15.9667,35.6333,,"Blantyre, Malawi",,Malawi Highlands,,,
Muztagh Ata,"Jun, Jul, Aug, Sep",Asia,"Kashi, China",China,Major Mountain Expedition,24758.0,7546.2384,"Three members of , E.A. Beletsky's , Sino-Russian expedition",38.2833,75.1167,,"Kashi, China",,Kunlun,,,1956.0
Muztagh Tower,"Jul, Aug, Sep",Asia,"Skardu, Pakistan",Pakistan,Major Mountain Expedition,23860.0,7272.528,"John Hartog, Joe Brown, Tom Patey, Ian McNaught Davis, (British expedition)",35.8283,76.3608,,"Rawalpindi, Pakistan",,Karakoram,,,1956.0
Namche Barwa,"Apr, May, Sep, Oct",Asia,"Tangmai, Tibet",China,,25531.0,7781.8488,,29.6667,95.1667,,"Lhasa, Tibet",,Assam Himalaya,,,
Nanda Devi,"Jul, Aug, Sep",Asia,"Hardwar, India",India,Major Mountain Expedition,25645.0,7816.596,"Noel Odell, Bill Tilman",30.3833,79.9667,,"Delhi, India",,Garhwal Himalaya,,,1936.0
Nanga Parbat,"Jun, Jul, Aug, Sep",Asia,"Chilas, Pakistan",Pakistan,Major Mountain Expedition,26658.0,8125.3584,Herman Buhl,35.248668,74.59180400000001,,"Rawalpindi, Pakistan",,Punjab Himalaya,,,1953.0
Piton des Neiges,"May, Jun, Jul, Aug, Sep, Oct, Nov",Africa,"St. Denis, Reunion Island",Reunion,Walk up,10700.0,3261.36,,-21.0833,55.4833,,"St. Denis, Rȵnion Island",,Reunion Island,,Extinct,
North Palisade,"Jun, Jul, Aug, Sep",North America,"Bishop, California",United States,Basic Snow/Ice Climb,14242.0,4340.9616,"Joseph N. LeConte, J.K. Moffitt, James Hutchinson",37.0939,-118.522,,"Oakland, California, Reno, Nevada",,Sierra Nevada,California,,1903.0
North Twin,"Jul, Aug, Sep",North America,"Jasper, Alberta",Canada,Basic Snow/Ice Climb,12200.0,3718.56,"W. Ladd, J. Munroe Thorington, Conrad Kain",52.223960999999996,-117.43466399999998,,"Edmonton or Calgary, Alberta",Alberta,Canadian Rockies,,,1923.0
Noshaq,"Jun, Jul, Aug, Sep",Asia,"Chitral, Pakistan",Afghanistan,Major Mountain Expedition,24581.0,7492.2888,"Toshiaki Sakai, Goro Iwatsubo, (Japanese expedition)",36.4333,71.9,,"Peshawar, Pakistan",,Hindu Kush,,,1960.0
Nun Kun,"Jul, Aug, Sep",Asia,Kargil,India,Major Mountain Expedition,23410.0,7135.368,"Nun - Claude Kogan, Pierre Vittoz Kun - Mario Piacenza, Lorenzo Borelli, and party",33.98077,76.020584,,Srinagar or Leh,,Punjab Himalaya,,,
Ojos del Salado,"May, Jun, Jul, Aug, Sep, Oct",South America,"Copiapo, Chile",Chile,Walk up,22615.0,6893.052,"J. Wojsznis, J. Szczepanski",-27.109524,-68.540869,,"Antofagasta, Chile",,Central Argentina-Chile,,,1937.0
Mount Olympus,"Apr, May, Jun",Europe,"Litochoro, Greece",Greece,Walk up,9570.0,2916.9359999999997,"D. Baud-Bovy, F. Boissonas, K. Kakalos",40.0833,22.35,,"Thessalonika, Greece",,Greek-Albanian Ranges,,,
Mount Olympus,"Jun, Jul, Aug, Sep",North America,"Port Angeles, Washington",United States,Basic Snow/Ice Climb,7965.0,2427.732,L.A. Nelson and party,47.801251,-123.71086100000001,,"Seattle, Washington",,Olympic Mountains,Washington,,1907.0
Ontake,"Jun, Jul, Aug, Sep",Asia,"Nagoya, Japan",Japan,Walk up,10051.0,3063.5448,Fukan Reigin,35.8833,137.483,1980,"Nagoya, Japan",,Honshu,,Active,
Cima Ortles,"Jul, Aug, Sep",Europe,"Sulden, Italy",Italy,Basic Snow/Ice Climb,12802.0,3902.0496,"Joseph Pichler and party,, by command of, Archduke John of Austria",46.5167,10.55,,"Innsbruck, Austria, Venice, Italy",,Ortler Alps,,,1804.0
Mount Ossa,"Jan, Feb, Mar, Dec",Australia/Oceania,"Devonport, Tasmania",Australia,Scramble,5305.0,1616.964,,-41.9,146.017,,"Hobart, Tasmania",,,,,
Mount Owen,"May, Jun, Jul, Aug, Sep",North America,"Jackson, Wyoming",United States,Technical Climb,12928.0,3940.4544,"R. Underhill, K. Henderson, F. Fryxell, P. Smith",43.7469,-110.79700000000001,,"Jackson, Wyoming",,Teton Range - Yellowstone Area,Wyoming,,1930.0
Paine Grande,"Jan, Feb, Mar, Dec",South America,"Puerto Natales, Chile",Chile,Basic Snow/Ice Climb,10006.0,3049.8288,"Toni Gibbi, J. Bich, L. Carrel and party",-50.9833,-72.9667,,"Punta Arenas, Chile",,Patagonia,,,1958.0
Parnassus,"Apr, May, Jun",Europe,"Levdhia, Greece",Greece,Walk up,8062.0,2457.2976,,38.5333,22.6167,,Athens. Greece,,Greek-Albanian Ranges,,,
Monte Perdido,"May, Jun, Jul, Aug, Sep",Europe,"Gavarnie, France. Torla in Spain",Spain,Walk up,11007.0,3354.9336,"Laurens and Rondou, of L-F Ramond's party (or) August, 1791 by Spanish Vicente de Heredia",42.676598999999996,0.032958999999999995,,"Lourdes or Toulouse, France, Zaragoza or Barcelona, Spain",,Pyrenees,,,1802.0
